subject_id,example_id,start_ms,phoneme,total_duration_s,mean_rms,f0_mean_voiced_hz,voiced_ratio,voicing_decision,total_sound_frames,unvoiced_frames_count,full_filename
4,1,9,じ,0.329,0.040604401379823685,97.63877970230523,0.8387096774193549,Voiced,31,5,S04_001_09_じ.wav
4,1,13,じ,0.329,0.05871094763278961,90.9983214489619,0.967741935483871,Voiced,31,1,S04_001_13_じ.wav
4,2,5,じ,0.322,0.02710835635662079,81.80931191121127,1.0,Voiced,31,0,S04_002_05_じ.wav
4,4,5,じ,0.267,0.01838103123009205,80.63604259905865,1.0,Voiced,26,0,S04_004_05_じ.wav
4,4,17,じ,0.267,0.028718583285808563,79.82358027824756,1.0,Voiced,25,0,S04_004_17_じ.wav
4,4,23,じ,0.267,0.03948315232992172,96.38086427240513,0.34615384615384615,Unvoiced,26,17,S04_004_23_じ.wav
4,5,4,じ,0.285,0.024995895102620125,81.4137131590872,1.0,Voiced,24,0,S04_005_04_じ.wav
4,5,21,じ,0.284,0.05004274845123291,98.52674368466242,0.9259259259259259,Voiced,27,2,S04_005_21_じ.wav
4,6,1,じ,0.226,0.010925326496362686,78.6886888685622,1.0,Voiced,5,0,S04_006_01_じ.wav
4,6,6,じ,0.276,0.021879490464925766,80.92140172548054,0.8076923076923077,Voiced,26,5,S04_006_06_じ.wav
4,7,10,じ,0.319,0.05292005464434624,118.38010448275988,0.7333333333333333,Voiced,30,8,S04_007_10_じ.wav
4,8,1,じ,0.27,0.019547507166862488,78.46526836693256,1.0,Voiced,12,0,S04_008_01_じ.wav
4,9,24,じ,0.31,0.0600762702524662,83.61034989572002,0.5333333333333333,Voiced,30,14,S04_009_24_じ.wav
4,10,4,じ,0.302,0.02489914372563362,81.85906749456227,1.0,Voiced,29,0,S04_010_04_じ.wav
4,10,27,じ,0.302,0.05503249913454056,88.02400856192617,0.9310344827586207,Voiced,29,2,S04_010_27_じ.wav
1,1,1,ざ,0.262,0.04005194455385208,145.20105665728406,0.6666666666666666,Voiced,12,4,S01_001_01_ざ.wav
1,1,17,ざ,0.312,0.08393663913011551,163.33331962333847,0.9655172413793104,Voiced,29,1,S01_001_17_ざ.wav
1,2,11,ざ,0.327,0.08489731699228287,171.27447511098114,0.9166666666666666,Voiced,24,2,S01_002_11_ざ.wav
1,2,13,ざ,0.327,0.028924474492669106,139.50511465613604,0.8,Voiced,20,4,S01_002_13_ざ.wav
1,2,18,ざ,0.327,0.06706134974956512,151.04295835325073,0.9655172413793104,Voiced,29,1,S01_002_18_ざ.wav
1,3,3,ざ,0.31,0.06801075488328934,166.58146301311083,0.9,Voiced,30,3,S01_003_03_ざ.wav
1,3,6,ざ,0.31,0.04266098514199257,158.91105998987368,0.9523809523809523,Voiced,21,1,S01_003_06_ざ.wav
1,3,16,ざ,0.31,0.04330679029226303,151.9878955687796,0.64,Voiced,25,9,S01_003_16_ざ.wav
1,5,14,ざ,0.313,0.05122832953929901,160.39103550220275,1.0,Voiced,18,0,S01_005_14_ざ.wav
1,7,4,ざ,0.342,0.06876975297927856,158.65744760038382,1.0,Voiced,33,0,S01_007_04_ざ.wav
1,7,20,ざ,0.342,0.0544019378721714,157.82904812910266,0.9090909090909091,Voiced,33,3,S01_007_20_ざ.wav
1,8,19,ざ,0.344,0.05680648609995842,145.90747474472627,1.0,Voiced,10,0,S01_008_19_ざ.wav
1,9,13,ざ,0.315,0.08023253083229065,146.0924859919032,1.0,Voiced,25,0,S01_009_13_ざ.wav
1,10,18,ざ,0.318,0.06614166498184204,154.4635724467219,0.8333333333333334,Voiced,24,4,S01_010_18_ざ.wav
2,1,1,ざ,0.225,0.0,0.0,0.0,Unvoiced,0,0,S02_001_01_ざ.wav
2,1,17,ざ,0.276,0.0274371225386858,115.60976724491833,0.5454545454545454,Voiced,11,5,S02_001_17_ざ.wav
2,2,11,ざ,0.275,0.03290022537112236,98.33328487164812,0.6923076923076923,Voiced,13,4,S02_002_11_ざ.wav
2,2,13,ざ,0.274,0.04136672243475914,112.73231377679124,1.0,Voiced,13,0,S02_002_13_ざ.wav
2,2,18,ざ,0.275,0.027892941609025,126.88447546483069,1.0,Voiced,10,0,S02_002_18_ざ.wav
