time,f0,is_voiced
0.0,0.0,0
0.021333333333333336,0.0,0
0.04266666666666667,0.0,0
0.064,0.0,0
0.08533333333333334,0.0,0
0.10666666666666669,0.0,0
0.128,0.0,0
0.14933333333333335,0.0,0
0.1706666666666667,0.0,0
0.19200000000000003,0.0,0
0.21333333333333337,0.0,0
0.2346666666666667,0.0,0
0.256,0.0,0
0.2773333333333334,0.0,0
0.2986666666666667,0.0,0
0.32000000000000006,0.0,0
0.3413333333333334,0.0,0
0.3626666666666667,0.0,0
0.38400000000000006,0.0,0
0.4053333333333334,0.0,0
0.42666666666666675,0.0,0
0.44800000000000006,0.0,0
0.4693333333333334,0.0,0
0.49066666666666675,0.0,0
0.512,109.20913164187229,1
0.5333333333333334,109.20913164187229,1
0.5546666666666668,110.47808062740982,1
0.5760000000000001,115.70304454158963,1
0.5973333333333334,116.37330545999029,1
0.6186666666666667,121.17511854086001,1
0.6400000000000001,123.29322230346078,1
0.6613333333333334,125.44834986767334,1
0.6826666666666668,127.64114839815035,1
0.7040000000000001,128.38056604865398,1
0.7253333333333334,129.1242671020315,1
0.7466666666666668,129.1242671020315,1
0.7680000000000001,128.38056604865398,1
0.7893333333333334,127.64114839815035,1
0.8106666666666668,127.64114839815035,1
0.8320000000000001,126.17506476551623,1
0.8533333333333335,127.64114839815035,1
0.8746666666666668,129.87227637178333,1
0.8960000000000001,121.87707886145738,1
0.9173333333333334,120.4772012142062,1
0.9386666666666668,119.78330359556432,1
0.9600000000000001,119.0934025331198,1
0.9813333333333335,118.4074750084028,1
1.0026666666666668,118.4074750084028,1
1.024,117.72549813552003,1
1.0453333333333334,117.72549813552003,1
1.0666666666666669,117.04744916039132,1
1.088,116.37330545999029,1
1.1093333333333335,115.70304454158963,1
1.1306666666666667,115.03664404201065,1
1.1520000000000001,114.374081726877,1
1.1733333333333336,113.06038335200589,1
1.1946666666666668,115.03664404201065,1
1.2160000000000002,0.0,0
1.2373333333333334,0.0,0
1.2586666666666668,0.0,0
1.2800000000000002,0.0,0
1.3013333333333335,0.0,0
1.3226666666666669,0.0,0
1.344,0.0,0
1.3653333333333335,0.0,0
1.386666666666667,0.0,0
1.4080000000000001,0.0,0
1.4293333333333336,0.0,0
1.4506666666666668,112.4092034608727,1
1.4720000000000002,112.4092034608727,1
1.4933333333333336,112.4092034608727,1
1.5146666666666668,115.03664404201065,1
1.5360000000000003,117.72549813552003,1
1.5573333333333335,117.72549813552003,1
1.5786666666666669,118.4074750084028,1
1.6000000000000003,118.4074750084028,1
1.6213333333333335,118.4074750084028,1
1.642666666666667,117.72549813552003,1
1.6640000000000001,115.03664404201065,1
1.6853333333333336,111.761774089931,1
1.706666666666667,105.48906770322031,1
1.7280000000000002,103.0796940670368,1
1.7493333333333336,103.0796940670368,1
1.7706666666666668,103.0796940670368,1
1.7920000000000003,104.27742241858917,1
1.8133333333333335,118.4074750084028,1
1.834666666666667,117.04744916039132,1
1.8560000000000003,120.4772012142062,1
1.8773333333333335,140.81101174949947,1
1.898666666666667,145.7767013548729,1
1.9200000000000002,124.00745267433047,1
1.9413333333333336,150.04828475508103,1
1.962666666666667,154.4450351029245,1
1.9840000000000002,146.62117719488774,1
2.0053333333333336,146.62117719488774,1
2.026666666666667,146.62117719488774,1
2.048,144.1023131300889,1
2.0693333333333337,0.0,0
2.090666666666667,0.0,0
2.112,0.0,0
2.1333333333333337,0.0,0
2.154666666666667,0.0,0
2.176,0.0,0
2.197333333333334,0.0,0
2.218666666666667,0.0,0
2.24,0.0,0
2.2613333333333334,0.0,0
2.282666666666667,0.0,0
2.3040000000000003,0.0,0
2.3253333333333335,0.0,0
2.346666666666667,121.87707886145738,1
2.3680000000000003,118.4074750084028,1
2.3893333333333335,118.4074750084028,1
2.410666666666667,118.4074750084028,1
2.4320000000000004,118.4074750084028,1
2.4533333333333336,119.0934025331198,1
2.474666666666667,119.0934025331198,1
2.4960000000000004,119.0934025331198,1
2.5173333333333336,118.4074750084028,1
2.538666666666667,116.37330545999029,1
2.5600000000000005,116.37330545999029,1
2.5813333333333337,119.0934025331198,1
2.602666666666667,0.0,0
2.6240000000000006,0.0,0
2.6453333333333338,0.0,0
2.666666666666667,0.0,0
2.688,0.0,0
2.709333333333334,0.0,0
2.730666666666667,0.0,0
2.7520000000000002,0.0,0
2.773333333333334,0.0,0
2.794666666666667,0.0,0
2.8160000000000003,0.0,0
2.8373333333333335,0.0,0
2.858666666666667,0.0,0
2.8800000000000003,0.0,0
2.9013333333333335,0.0,0
2.922666666666667,0.0,0
2.9440000000000004,0.0,0
2.9653333333333336,0.0,0
2.9866666666666672,70.0,0
3.0080000000000005,70.0,0
3.0293333333333337,70.0,0
3.050666666666667,70.0,0
3.0720000000000005,70.0,0
3.0933333333333337,70.0,0
3.114666666666667,70.0,0
3.1360000000000006,70.0,0
3.1573333333333338,70.0,0
3.178666666666667,70.0,0
3.2000000000000006,73.31058859744387,0
3.221333333333334,0.0,0
3.242666666666667,0.0,0
3.2640000000000002,0.0,0
3.285333333333334,0.0,0
3.306666666666667,0.0,0
3.3280000000000003,0.0,0
3.349333333333334,0.0,0
3.370666666666667,106.71479162790334,1
3.3920000000000003,104.27742241858917,1
3.413333333333334,103.67682866005948,1
3.434666666666667,103.67682866005948,1
3.4560000000000004,103.67682866005948,1
3.4773333333333336,103.67682866005948,1
3.4986666666666673,103.67682866005948,1
3.5200000000000005,103.67682866005948,1
3.5413333333333337,104.27742241858917,1
3.5626666666666673,104.27742241858917,1
3.5840000000000005,104.27742241858917,1
